,school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3,Unnamed: 0
30,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""health"";""services"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;4;2;3;4;5;0;""9"";""11"";12",
31,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""reputation"";""mother"";2;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;1;1;1;5;0;""17"";""16"";17",
32,"GP;""M"";15;""R"";""GT3"";""T"";4;3;""teacher"";""at_home"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;5;2;1;1;5;0;""17"";""16"";16",
33,"GP;""M"";15;""U"";""LE3"";""T"";3;3;""other"";""other"";""course"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""no"";""yes"";""yes"";""no"";5;3;2;1;1;2;0;""8"";""10"";12",
34,"GP;""M"";16;""U"";""GT3"";""T"";3;2;""other"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;4;3;1;1;5;0;""12"";""14"";15",
35,"GP;""F"";15;""U"";""GT3"";""T"";2;3;""other"";""other"";""other"";""father"";2;1;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";3;5;1;1;1;5;0;""8"";""7"";6",
36,"GP;""M"";15;""U"";""LE3"";""T"";4;3;""teacher"";""services"";""home"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;3;1;1;4;2;""15"";""16"";18",
37,"GP;""M"";16;""R"";""GT3"";""A"";4;4;""other"";""teacher"";""reputation"";""mother"";2;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";2;4;3;1;1;5;7;""15"";""16"";15",
38,"GP;""F"";15;""R"";""GT3"";""T"";3;4;""services"";""health"";""course"";""mother"";1;3;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;2;""12"";""12"";11",
39,"GP;""F"";15;""R"";""GT3"";""T"";2;2;""at_home"";""other"";""reputation"";""mother"";1;1;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";""no"";4;3;1;1;1;2;8;""14"";""13"";13",
40,"GP;""F"";16;""U"";""LE3"";""T"";2;2;""other"";""other"";""home"";""mother"";2;2;1;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";3;3;3;1;2;3;25;""7"";""10"";11",
41,"GP;""M"";15;""U"";""LE3"";""T"";4;4;""teacher"";""other"";""home"";""other"";1;1;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";5;4;3;2;4;5;8;""12"";""12"";12",
42,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;1;1;5;2;""19"";""18"";18",
43,"GP;""M"";15;""U"";""GT3"";""T"";2;2;""services"";""services"";""course"";""father"";1;1;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";5;4;1;1;1;1;0;""8"";""8"";11",
44,"GP;""F"";16;""U"";""LE3"";""T"";2;2;""other"";""at_home"";""course"";""father"";2;2;1;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;2;5;14;""10"";""10"";9",
45,"GP;""F"";15;""U"";""LE3"";""A"";4;3;""other"";""other"";""course"";""mother"";1;2;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";5;2;2;1;1;5;8;""8"";""8"";6",
46,"GP;""F"";16;""U"";""LE3"";""A"";3;3;""other"";""services"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";2;3;5;1;4;3;12;""11"";""12"";11",
47,"GP;""M"";16;""U"";""GT3"";""T"";4;3;""health"";""services"";""reputation"";""mother"";1;4;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;2;2;1;1;2;4;""19"";""19"";20",
48,"GP;""M"";15;""U"";""GT3"";""T"";4;2;""teacher"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""no"";""no"";4;3;3;2;2;5;2;""15"";""15"";14",
49,"GP;""F"";15;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""other"";""father"";1;2;1;""yes"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""no"";4;4;4;1;1;3;2;""7"";""7"";7",
50,"GP;""F"";16;""U"";""LE3"";""T"";2;2;""services"";""services"";""course"";""mother"";3;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;2;3;4;2;""12"";""13"";13",
51,"GP;""F"";15;""U"";""LE3"";""T"";4;2;""health"";""other"";""other"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;1;1;5;2;""11"";""13"";13",
52,"GP;""M"";15;""U"";""LE3"";""A"";4;2;""health"";""health"";""other"";""father"";2;1;1;""no"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";5;5;5;3;4;5;6;""11"";""11"";10",
53,"GP;""F"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""course"";""mother"";1;1;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";3;3;4;2;3;5;0;""8"";""10"";11",
54,"GP;""F"";15;""U"";""LE3"";""A"";3;3;""other"";""other"";""other"";""mother"";1;1;0;""no"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;3;4;4;4;1;6;""10"";""13"";13",
55,"GP;""F"";16;""U"";""GT3"";""A"";2;1;""other"";""other"";""other"";""mother"";1;2;0;""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";5;3;4;1;1;2;8;""8"";""9"";10",
56,"GP;""F"";15;""U"";""GT3"";""A"";4;3;""services"";""services"";""reputation"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;1;0;""14"";""15"";15",
57,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""teacher"";""health"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";3;2;2;1;1;5;4;""14"";""15"";15",
58,"GP;""M"";15;""U"";""LE3"";""T"";1;2;""other"";""at_home"";""home"";""father"";1;2;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;2;""9"";""10"";9",
59,"GP;""F"";16;""U"";""GT3"";""T"";4;2;""services"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;2;3;1;1;5;2;""15"";""16"";16",
60,"GP;""F"";16;""R"";""GT3"";""T"";4;4;""health"";""teacher"";""other"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";2;4;4;2;3;4;6;""10"";""11"";11",
61,"GP;""F"";16;""U"";""GT3"";""T"";1;1;""services"";""services"";""course"";""father"";4;1;0;""yes"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";5;5;5;5;5;5;6;""10"";""8"";11",
62,"GP;""F"";16;""U"";""LE3"";""T"";1;2;""other"";""services"";""reputation"";""father"";1;2;0;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;4;3;1;1;1;4;""8"";""10"";9",
63,"GP;""F"";16;""U"";""GT3"";""T"";4;3;""teacher"";""health"";""home"";""mother"";1;3;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";3;4;4;2;4;4;2;""10"";""9"";9",
64,"GP;""F"";15;""U"";""LE3"";""T"";4;3;""services"";""services"";""reputation"";""father"";1;2;0;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;4;4;2;4;2;0;""10"";""10"";10",
65,"GP;""F"";16;""U"";""LE3"";""T"";4;3;""teacher"";""services"";""course"";""mother"";3;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;3;1;2;1;2;""16"";""15"";15",
66,"GP;""M"";15;""U"";""GT3"";""A"";4;4;""other"";""services"";""reputation"";""mother"";1;4;0;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";1;3;3;5;5;3;4;""13"";""13"";12",
67,"GP;""F"";16;""U"";""GT3"";""T"";3;1;""services"";""other"";""course"";""mother"";1;4;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;1;2;5;4;""7"";""7"";6",
68,"GP;""F"";15;""R"";""LE3"";""T"";2;2;""health"";""services"";""reputation"";""mother"";2;2;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;1;3;1;3;4;2;""8"";""9"";8",
69,"GP;""F"";15;""R"";""LE3"";""T"";3;1;""other"";""other"";""reputation"";""father"";2;4;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";4;4;2;2;3;3;12;""16"";""16"";16",
70,"GP;""M"";16;""U"";""GT3"";""T"";3;1;""other"";""other"";""reputation"";""father"";2;4;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;0;""13"";""15"";15",
71,"GP;""M"";15;""U"";""GT3"";""T"";4;2;""other"";""other"";""course"";""mother"";1;4;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";3;3;3;1;1;3;0;""10"";""10"";10",
72,"GP;""F"";15;""R"";""GT3"";""T"";1;1;""other"";""other"";""reputation"";""mother"";1;2;2;""yes"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";3;3;4;2;4;5;2;""8"";""6"";5",
73,"GP;""M"";16;""U"";""GT3"";""T"";3;1;""other"";""other"";""reputation"";""mother"";1;1;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";""no"";5;3;2;2;2;5;2;""12"";""12"";14",
74,"GP;""F"";16;""U"";""GT3"";""T"";3;3;""other"";""services"";""home"";""mother"";1;2;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;4;5;54;""11"";""12"";11",
75,"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;3;5;6;""9"";""9"";10",
76,"GP;""M"";15;""U"";""GT3"";""T"";4;0;""teacher"";""other"";""course"";""mother"";2;4;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;4;3;1;1;1;8;""11"";""11"";10",
77,"GP;""F"";16;""U"";""GT3"";""T"";2;2;""other"";""other"";""reputation"";""mother"";1;4;0;""no"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";5;2;3;1;3;3;0;""11"";""11"";11",
78,"GP;""M"";17;""U"";""GT3"";""T"";2;1;""other"";""other"";""home"";""mother"";2;1;3;""yes"";""yes"";""no"";""yes"";""yes"";""no"";""yes"";""no"";4;5;1;1;1;3;2;""8"";""8"";10",
79,"GP;""F"";16;""U"";""GT3"";""T"";3;4;""at_home"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";2;4;3;1;2;3;12;""5"";""5"";5",
80,"GP;""M"";15;""U"";""GT3"";""T"";2;3;""other"";""services"";""course"";""father"";1;1;0;""yes"";""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";3;2;2;1;3;3;2;""10"";""12"";12",
81,"GP;""M"";15;""U"";""GT3"";""T"";2;3;""other"";""other"";""home"";""mother"";1;3;0;""yes"";""no"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;3;2;1;2;5;4;""11"";""10"";11",
82,"GP;""F"";15;""U"";""LE3"";""T"";3;2;""services"";""other"";""reputation"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;4;4;1;1;5;10;""7"";""6"";6",
83,"GP;""M"";15;""U"";""LE3"";""T"";2;2;""services"";""services"";""home"";""mother"";2;2;0;""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;3;4;4;""15"";""15"";15",
84,"GP;""F"";15;""U"";""GT3"";""T"";1;1;""other"";""other"";""home"";""father"";1;2;0;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""no"";4;3;2;2;3;4;2;""9"";""10"";10",
85,"GP;""F"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""reputation"";""father"";2;2;2;""no"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";4;4;4;2;3;5;6;""7"";""9"";8",
86,"GP;""F"";16;""U"";""LE3"";""T"";2;2;""at_home"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;4;1;2;2;4;""8"";""7"";6",
87,"GP;""F"";15;""U"";""GT3"";""T"";4;2;""other"";""other"";""reputation"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;3;1;4;""13"";""14"";14",
88,"GP;""M"";16;""U"";""GT3"";""T"";2;2;""services"";""other"";""reputation"";""father"";2;2;1;""no"";""no"";""yes"";""yes"";""no"";""yes"";""yes"";""no"";4;4;2;1;1;3;12;""11"";""10"";10",
89,"GP;""M"";16;""U"";""LE3"";""A"";4;4;""teacher"";""health"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;1;3;3;5;5;18;""8"";""6"";7",
90,"GP;""F"";16;""U"";""GT3"";""T"";3;3;""other"";""other"";""home"";""mother"";1;3;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";4;3;3;1;3;4;0;""7"";""7"";8",
91,"GP;""F"";15;""U"";""GT3"";""T"";4;3;""services"";""other"";""reputation"";""mother"";1;1;0;""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;5;5;1;3;1;4;""16"";""17"";18",
92,"GP;""F"";16;""U"";""LE3"";""T"";3;1;""other"";""other"";""home"";""father"";1;2;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";3;3;3;2;3;2;4;""7"";""6"";6",
93,"GP;""F"";16;""U"";""GT3"";""T"";4;2;""teacher"";""services"";""home"";""mother"";2;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;1;1;0;""11"";""10"";10",
94,"GP;""M"";15;""U"";""LE3"";""T"";2;2;""services"";""health"";""reputation"";""mother"";1;4;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;4;1;1;4;6;""11"";""13"";14",
95,"GP;""F"";15;""R"";""GT3"";""T"";1;1;""at_home"";""other"";""home"";""mother"";2;4;1;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";3;1;2;1;1;1;2;""7"";""10"";10",
96,"GP;""M"";16;""R"";""GT3"";""T"";4;3;""services"";""other"";""reputation"";""mother"";2;1;0;""yes"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""no"";3;3;3;1;1;4;2;""11"";""15"";15",
97,"GP;""F"";16;""U"";""GT3"";""T"";2;1;""other"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""no"";""yes"";4;3;5;1;1;5;2;""8"";""9"";10",
98,"GP;""F"";16;""U"";""GT3"";""T"";4;4;""other"";""other"";""reputation"";""mother"";1;1;0;""no"";""no"";""no"";""yes"";""no"";""yes"";""yes"";""no"";5;3;4;1;2;1;6;""11"";""14"";14",
99,"GP;""F"";16;""U"";""GT3"";""T"";4;3;""other"";""at_home"";""course"";""mother"";1;3;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;3;5;1;1;3;0;""7"";""9"";8",
100,"GP;""M"";16;""U"";""GT3"";""T"";4;4;""services"";""services"";""other"";""mother"";1;1;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";4;5;5;5;5;4;14;""7"";""7"";5",
101,"GP;""M"";16;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""other"";""father"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;4;3;1;1;4;0;""16"";""17"";17",
102,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""other"";""course"";""mother"";1;1;0;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""no"";5;3;3;1;1;5;4;""10"";""13"";14",
103,"GP;""F"";15;""U"";""GT3"";""T"";3;2;""services"";""other"";""home"";""mother"";2;2;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;3;5;1;1;2;26;""7"";""6"";6",
104,"GP;""M"";15;""U"";""GT3"";""A"";3;4;""services"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;4;1;1;1;0;""16"";""18"";18",
105,"GP;""F"";15;""U"";""GT3"";""A"";3;3;""other"";""health"";""reputation"";""father"";1;4;0;""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;3;1;1;4;10;""10"";""11"";11",
106,"GP;""F"";15;""U"";""GT3"";""T"";2;2;""other"";""other"";""course"";""mother"";1;4;0;""yes"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;1;2;1;1;3;8;""7"";""8"";8",
107,"GP;""M"";16;""U"";""GT3"";""T"";3;3;""services"";""other"";""home"";""father"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;1;5;2;""16"";""18"";18",
108,"GP;""M"";15;""R"";""GT3"";""T"";4;4;""other"";""other"";""home"";""father"";4;4;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";1;3;5;3;5;1;6;""10"";""13"";13",
109,"GP;""F"";16;""U"";""LE3"";""T"";4;4;""health"";""health"";""other"";""mother"";1;3;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";5;4;5;1;1;4;4;""14"";""15"";16",
110,"GP;""M"";15;""U"";""LE3"";""A"";4;4;""teacher"";""teacher"";""course"";""mother"";1;1;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;5;3;1;1;4;6;""18"";""19"";19",
111,"GP;""F"";16;""R"";""GT3"";""T"";3;3;""services"";""other"";""reputation"";""father"";1;3;1;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;1;2;1;1;2;0;""7"";""10"";10",
112,"GP;""F"";16;""U"";""GT3"";""T"";2;2;""at_home"";""other"";""home"";""mother"";1;2;1;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;1;2;1;1;5;6;""10"";""13"";13",
113,"GP;""M"";15;""U"";""LE3"";""T"";4;2;""teacher"";""other"";""course"";""mother"";1;1;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";3;5;2;1;1;3;10;""18"";""19"";19",
114,"GP;""M"";15;""R"";""GT3"";""T"";2;1;""health"";""services"";""reputation"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";5;4;2;1;1;5;8;""9"";""9"";9",
115,"GP;""M"";16;""U"";""GT3"";""T"";4;4;""teacher"";""teacher"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;4;1;2;5;2;""15"";""15"";16",
116,"GP;""M"";15;""U"";""GT3"";""T"";4;4;""other"";""teacher"";""reputation"";""father"";2;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";4;4;3;1;1;2;2;""11"";""13"";14",
117,"GP;""M"";16;""U"";""GT3"";""T"";3;3;""other"";""services"";""home"";""father"";2;1;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;2;1;1;5;0;""13"";""14"";13",
